CLIENTNUM,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_Label,Churn_Label,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Marital_Status_Married,Marital_Status_Single,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K
768805383,-0.1654055800960332,3,0.3846208780498676,5,1,3,0.3401899164694039,0.30870083432657924,0.3451163329759801,1.335,0.03527317236007567,0.248062015503876,1.625,0.061,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
818770008,0.33357038345253087,5,1.0107148200563958,6,1,2,0.20611167040029993,0.3432657926102503,0.21409324022831977,1.541,0.043451652386780906,0.17829457364341086,3.714,0.105,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
713982108,0.5830583652268129,3,0.008964512845950725,4,1,0,0.05984998957001244,0.0,0.09894822240894736,2.594,0.07661065984199399,0.07751937984496124,2.333,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
709106358,-0.7891255345317383,3,-1.8693173131736336,5,1,0,0.09909092832935787,0.0,0.1365572393011329,2.175,0.01702459107599866,0.13953488372093023,2.5,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
713061558,-0.29014957098317423,2,0.008964512845950725,3,1,2,0.07774724361125473,0.4954310687326182,0.0799698664271434,1.376,0.032157560921330805,0.10852713178294573,0.846,0.311,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
710930508,-1.1633575071931614,3,0.008964512845950725,5,2,0,0.6322598004093393,1.0,0.5746240547040246,3.355,0.04673417158117281,0.10852713178294573,1.182,0.113,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
719661558,0.20882639256538985,2,0.008964512845950725,6,3,3,0.3088999537452725,0.66626936829559,0.28905050270912414,1.524,0.051797040169133196,0.17054263565891473,0.882,0.144,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
710599683,1.206778319662518,1,0.008964512845950725,3,6,0,0.3117719793093232,0.0,0.340393474922493,3.397,0.05724936018693669,0.05426356589147288,3.25,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
712396908,1.331522310549659,2,1.5115899736616183,5,2,2,0.03016231479214094,0.2701628923321414,0.050792455016950136,1.19,0.05897407366195616,0.14728682170542637,0.611,0.279,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
709967358,0.20882639256538985,4,0.008964512845950725,6,2,3,0.8745680624710909,0.9384187524831148,0.8113464491640832,1.708,0.0645933014354067,0.1317829457364341,0.929,0.078,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
806160108,1.8304982740982232,1,2.5133402808720633,2,2,3,0.05304782376041866,1.0,0.0194998985889375,1.831,0.045955268721486586,0.15503875968992248,1.143,0.788,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
806165208,0.08408240167824883,1,0.7602772432537845,5,2,0,0.5907514730467959,0.7151370679380215,0.5556167241329354,0.906,0.03716479359074218,0.1317829457364341,0.929,0.086,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
708508758,1.9552422649853642,0,1.636808762062924,2,3,3,0.0,0.0,0.041587228001043086,1.047,0.01012573717592077,0.046511627906976744,0.6,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
784725333,-0.6643815436445972,3,-0.36669185235796614,4,2,1,0.09165389371086866,0.2701628923321414,0.1097267696230406,1.608,0.023422721709135414,0.06201550387596899,1.571,0.152,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
771071958,-0.6643815436445972,3,-0.9927857943644943,6,1,2,0.1913585285554921,0.6630909813269765,0.17662909628256018,0.797,0.030099031935017246,0.09302325581395349,0.833,0.215,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
806624208,0.08408240167824883,4,0.7602772432537845,6,0,0,0.10117692584429996,0.5411203814064363,0.09909309535537335,0.739,0.029765216423723154,0.21705426356589144,0.9,0.285,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
712991808,0.832546347001095,2,1.5115899736616183,2,5,1,0.030615792512780522,0.6714342471195868,0.021962738678179237,1.323,0.06042060754423055,0.12403100775193798,1.6,0.69,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
709029408,-0.6643815436445972,4,0.008964512845950725,4,1,2,0.22627631304474013,1.0,0.18552429519311564,1.726,0.060031156114387446,0.10852713178294573,1.667,0.282,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
788658483,0.832546347001095,2,0.259402089648562,5,2,3,0.03663193027326569,0.591974572904251,0.033523599802972794,1.75,0.05012796261266274,0.13953488372093023,1.0,0.562,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
787937058,1.4562663014368,0,1.636808762062924,6,2,2,0.33607838513560495,0.6738180373460468,0.3145481412800974,0.519,0.043451652386780906,0.10852713178294573,0.714,0.135,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
715318008,1.082034328775377,1,0.008964512845950725,4,2,1,0.06293363807036162,0.7604290822407628,0.046446266624170604,0.51,0.04990541893846667,0.2558139534883721,0.483,0.544,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
713962233,1.082034328775377,3,0.008964512845950725,6,2,3,0.04827119176968169,0.9129916567342073,0.02126734853533451,1.724,0.07605430065650384,0.20930232558139536,1.176,0.757,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
785432733,-0.5396375527574563,4,0.008964512845950725,2,3,3,0.42308564380232,0.0,0.44707791267058794,0.865,0.02536997885835095,0.09302325581395349,1.2,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
827111283,-0.1654055800960332,3,0.6350584548524789,2,2,2,0.9368154375908845,0.22963845848232023,0.9226957957870947,1.042,0.03332591521086013,0.13953488372093023,0.474,0.018,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
773146383,0.45831437433967187,1,0.8854960316550902,3,2,3,0.47964943149009753,1.0,0.42836032799235074,1.449,0.069322354512073,0.17829457364341086,1.2,0.145,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
778493808,0.33357038345253087,3,0.13418330124725636,5,2,1,0.07460313141482028,0.0,0.11308782198012343,1.214,0.069322354512073,0.17054263565891473,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
