CLIENTNUM,Customer_Age,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_Label,Churn_Label,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
769911858,40,4,High School,Unknown,Less than $40K,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,0,1.0,0.0,0.0,0.0
810347208,51,4,Unknown,Married,$120K +,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,1,0,0.0,1.0,0.0,0.0
818906208,32,0,High School,Unknown,$60K - $80K,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,1,0,0.0,0.0,0.0,1.0
708790833,42,5,Uneducated,Unknown,$120K +,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,1,0,1.0,0.0,0.0,0.0
710821833,65,1,Unknown,Married,$40K - $60K,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,1,0,1.0,0.0,0.0,0.0
816082233,35,3,Graduate,Unknown,$60K - $80K,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,1,0,1.0,0.0,0.0,0.0
714885258,44,4,Unknown,Unknown,$80K - $120K,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,1,0,1.0,0.0,0.0,0.0
753327333,41,3,Unknown,Married,$80K - $120K,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,1,0,1.0,0.0,0.0,0.0
709327383,45,2,Graduate,Married,Unknown,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,0,1.0,0.0,0.0,0.0
811604133,47,4,Unknown,Single,Less than $40K,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,0,1.0,0.0,0.0,0.0
789124683,54,2,Unknown,Married,$80K - $120K,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,1,0,1.0,0.0,0.0,0.0
720466383,59,1,High School,Unknown,$40K - $60K,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,1,0,1.0,0.0,0.0,0.0
804424383,63,1,Unknown,Married,$60K - $80K,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,1,0,1.0,0.0,0.0,0.0
718813833,44,3,Uneducated,Single,Unknown,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,0,1.0,0.0,0.0,0.0
778348233,53,3,Unknown,Married,$80K - $120K,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,1,0,1.0,0.0,0.0,0.0
715190283,57,1,Graduate,Unknown,$40K - $60K,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0,0,1.0,0.0,0.0,0.0
708300483,66,0,Doctorate,Married,Unknown,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0,1,1.0,0.0,0.0,0.0
758551608,51,2,Unknown,Married,$40K - $60K,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,1,0,1.0,0.0,0.0,0.0
720572508,38,4,Graduate,Single,Unknown,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,0,1.0,0.0,0.0,0.0
720756708,52,3,Unknown,Married,Less than $40K,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,0,1.0,0.0,0.0,0.0
712813458,49,2,Unknown,Married,$120K +,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,1,0,1.0,0.0,0.0,0.0
717891558,49,4,Graduate,Unknown,Less than $40K,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0,0,1.0,0.0,0.0,0.0
711427458,44,5,Graduate,Married,Unknown,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,0,1.0,0.0,0.0,0.0
787584108,55,3,Unknown,Married,$80K - $120K,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,1,0,1.0,0.0,0.0,0.0
719580033,54,1,Graduate,Unknown,$60K - $80K,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,1,0,1.0,0.0,0.0,0.0
715156383,44,1,Unknown,Unknown,$120K +,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,1,0,1.0,0.0,0.0,0.0
711013983,55,4,Unknown,Married,$40K - $60K,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0,1,1.0,0.0,0.0,0.0
755420433,59,1,Graduate,Married,Unknown,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0,0,1.0,0.0,0.0,0.0
778992108,57,2,Unknown,Married,$120K +,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,1,0,1.0,0.0,0.0,0.0
