,param_criterion,param_min_samples_split,param_max_features,mean_test_score,rank_test_score
35,log_loss,2,,0.9431954407410059,1
14,entropy,2,,0.9422745187238231,2
18,entropy,6,,0.9417720061610091,3
38,log_loss,5,,0.9416029575089755,4
16,entropy,4,,0.9413520522422113,5
17,entropy,5,,0.9408499608969686,6
36,log_loss,3,,0.9407655067738805,7
39,log_loss,6,,0.9405984940067759,8
37,log_loss,4,,0.940430709007457,9
15,entropy,3,,0.9403468867107261,10
41,log_loss,8,,0.9402633452257094,11
19,entropy,7,,0.9400954198205331,12
40,log_loss,7,,0.9397609028658241,13
20,entropy,8,,0.9386712130083218,14
22,log_loss,3,sqrt,0.9194037384463529,15
23,log_loss,4,sqrt,0.9192363044616769,16
1,entropy,3,sqrt,0.918897505128324,17
2,entropy,4,sqrt,0.9169753489436564,18
0,entropy,2,sqrt,0.9166397087420899,19
25,log_loss,6,sqrt,0.916553499545787,20
5,entropy,7,sqrt,0.9164713621193423,21
7,entropy,2,log2,0.9161345284679896,22
27,log_loss,8,sqrt,0.9142904379399092,23
3,entropy,5,sqrt,0.912953703976715,24
21,log_loss,2,sqrt,0.912869390259484,25
32,log_loss,6,log2,0.9125324864052029,26
24,log_loss,5,sqrt,0.9116947548583937,27
28,log_loss,2,log2,0.9116934912056791,28
6,entropy,8,sqrt,0.9106056968272489,29
26,log_loss,7,sqrt,0.9101022014234346,30
11,entropy,6,log2,0.9090992823856642,31
31,log_loss,5,log2,0.9088457796105421,32
12,entropy,7,log2,0.908176675498195,33
4,entropy,6,sqrt,0.9075065885448478,34
33,log_loss,7,log2,0.9060800650359931,35
9,entropy,4,log2,0.9056629192343386,36
30,log_loss,4,log2,0.905159494033453,37
29,log_loss,3,log2,0.904408743915161,38
10,entropy,5,log2,0.9039867541114347,39
8,entropy,3,log2,0.9034836799251916,40
34,log_loss,8,log2,0.9011401657631548,41
13,entropy,8,log2,0.9007216861058576,42
