,param_criterion,param_min_samples_split,param_max_features,mean_test_score,rank_test_score
3,gini,2,log2,0.973023682255929,1
0,gini,2,sqrt,0.9729398599591981,2
6,entropy,2,sqrt,0.9728560376624673,3
12,log_loss,2,sqrt,0.9726883930690053,4
4,gini,3,log2,0.9726052025986316,5
15,log_loss,2,log2,0.9726045707722744,6
16,log_loss,3,log2,0.972520818678472,7
7,entropy,3,sqrt,0.9724372771934553,8
2,gini,4,sqrt,0.9722694219912078,9
11,entropy,4,log2,0.9721019880065317,10
9,entropy,2,log2,0.9720175338834436,11
17,log_loss,4,log2,0.9718503105075531,12
1,gini,3,sqrt,0.9716830169287342,13
14,log_loss,4,sqrt,0.9716829467258057,14
13,log_loss,3,sqrt,0.9716827361170198,15
8,entropy,4,sqrt,0.9715153723352723,16
10,entropy,3,log2,0.9713477277418106,17
5,gini,4,log2,0.9712640458509367,18
