,param_C,param_kernel,param_gamma,mean_test_score,rank_test_score
0,10,rbf,1,0.952916440262222,1
5,100,rbf,1,0.952916440262222,1
10,1000,rbf,1,0.952916440262222,1
1,10,rbf,0.1,0.9517434195284891,4
6,100,rbf,0.1,0.9507381135911466,5
11,1000,rbf,0.1,0.9462980591698363,6
12,1000,rbf,0.01,0.9401814184080504,7
7,100,rbf,0.01,0.9202407679638764,8
2,10,rbf,0.01,0.8963628564729207,9
13,1000,rbf,0.001,0.8934303397400525,10
8,100,rbf,0.001,0.8800257223530338,11
14,1000,rbf,0.0001,0.869469097372866,12
3,10,rbf,0.001,0.8499482604416325,13
9,100,rbf,0.0001,0.8437478675860441,14
4,10,rbf,0.0001,0.7995128618785461,15
